Informazioni cronologiche	I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily. I grant permission for the data generated from this interview to be used in the researcher's publications on this topic. 	Age	Gender	Country where you work	Type of Mental Health Service	Type of Mental Health Professional	Is your area provided with an electronic health record?	Was your normal practice disrupted during the emergency?	If yes, which was the main reason for such disruption?	If yes, how much was your practice affected?	How have you provided mental health care DURING the emergency?	Which of the following tools have you used DURING the emergency to provide mental health care?	Which of the following services have you provided using telecommunications DURING the emergency ?	Were telecommunication tools available in your Mental Health Service?	What percentage of your mental health care have you provided using telecommunications DURING the emergency?	Have you found telepsychiatry useful to reach out and support patients DURING the emergency?	How did you use to provide mental health care BEFORE the emergency?	Which of the following tools were you using BEFORE the emergency to provide mental health care?	Which of the following services were you providing using telecommunications BEFORE the emergency ?	What percentage of your mental health care were you providing using telecommunications BEFORE the emergency?	Did you find telepsychiatry useful to reach out and support patients BEFORE the emergency?	Which age do you think telepsychiatry is mostly suited to?	Which of the following groups would benefit the most from telepsychiatry in your opinion?	Which of the following disorders would you treat using telepsychiatry?	Telepsychiatry is widely implemented in my Country	Telepsychiatry is expensive	Telepsychiatry is as valid, accurate and effective as face-to-face care	Telepsychiatry allows to establish a good doctor-patient relationship	Telepsychiatry allows to save time and fits well into my daily schedule	Telepsychiatry is advantageous on the patient side as it reduces the need for time off work, childcare services, etc. to access appointments	Telepsychiatry comes with confidentiality issues that limit its employ	Telepsychiatry improves access to mental health specialty care that might not otherwise be available	Telepsychiatry reduces the barrier of stigma	I am enough prepared to use telecommunications in my practice	I am satisfied with the care I am able to provide using telepsychiatry
30/05/2020 13.17.52	Yes	31-40	Female	Kenya	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist, Addiction counselor	No	Yes	Lockdown	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	4	Mixed, mostly face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care, Drug therapy monitoring, Drug therapy prescription	Less than 25%	4	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Social anxiety, Substance use disorders	1	2	3	3	5	5	4	5	3	5	4
30/05/2020 14.31.45	Yes	20-30	Female	Portugal 	Public mental health outpatient clinic, Public mental health inpatient clinic, Emergency department	Adult psychiatrist	Yes	Yes	Lockdown	7	Exclusively remotely, using telecommunications	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy prescription	Yes, they were widely available BEFORE the emergency	More than 75%	4	Exclusively face-to-face								4	4	1	2	2	4	4	3	3	4	3
30/05/2020 15.49.25	Yes	20-30	Female	Spain	Public mental health outpatient clinic, Public mental health inpatient clinic	Psychologist	Yes	Yes	My ward was converted to COVID-19 intensive/subintensive care unit	7	Exclusively remotely, using telecommunications	Phone (calls, texts), e-mail	Assessing/Monitoring recent onset-patients	Yes, they were widely available BEFORE the emergency	More than 75%	4	Exclusively face-to-face					Adult	Patients in assisted living facilities, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Personality disorders	2	3	3	3	4	4	3	3	3	4	4
30/05/2020 15.53.38	Yes	41-50	Female	Nigeria 	Public mental health outpatient clinic, Public mental health inpatient clinic, Private mental health clinic	Adult psychiatrist, Old age psychiatrist, Psychotherapist	No	Yes	Lockdown	8	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy, Asynchronous psychotherapy	No, I have used personal tools on my own initiative	Less than 25%	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Asynchronous psychotherapy, Psycho-social rehabilitation	More than 75%	3	Adult, Elderly	Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Patients in school settings		2	3	3	4	4	4	4	5	5	4	2
01/06/2020 9.40.13	Yes	20-30	Female	Azerbaijan	Public mental health outpatient clinic	Adult psychiatrist, Psychotherapist	No	Yes	Lockdown	8	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	No, I have used personal tools on my own initiative	51-75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients	Less than 25%	5	Adult	Any	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Personality disorders	2	3	2	3	2	4	4	5	4	5	5
01/06/2020 10.04.25	Yes	31-40	Male	Bosnia and Herzegovina	Public mental health outpatient clinic	Adult psychiatrist	No	Yes	Lockdown	10	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist, Require consultation from other specialists, Drug therapy monitoring, Drug therapy prescription, Psycho-social rehabilitation	No, I have used personal tools on my own initiative	Less than 25%	5	Exclusively face-to-face	Phone (calls, texts)	Drug therapy monitoring	Less than 25%	5	Child and adolescent, Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions, Patients in school settings	Panic disorder, Social anxiety, Behavioral addictions	1	1	4	4	5	4	3	5	5	1	2
01/06/2020 10.40.32	Yes	31-40	Male	Poland	Public mental health outpatient clinic, Private mental health clinic	Adult psychiatrist	Yes	Yes	Block of outpatient services	6	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	25-50%	3	Exclusively face-to-face					Adult	Patients belonging to minority groups	ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Personality disorders, Eating disorders	3	1	3	2	4	3	4	4	4	4	4
01/06/2020 11.06.47	Yes	>60	Male	israel	women's health center	women's health psychiatry	Yes	Yes	Block of outpatient services	6	Mixed, mostly remotely using telecommunications	Electronic health record	Provide consultation to primary care/other specialist	Yes, they have been introduced and enabled DURING the emergency	25-50%	3	Exclusively face-to-face	Phone (calls, texts), e-mail	Require consultation from other specialists	Less than 25%	4	Adult	Patients living in rural/remote settings	Depressive disorders	3	3	2	2	4	3	4	4	2	3	3
01/06/2020 11.15.52	Yes	31-40	Male	UK	Court and prison	Forensic psychiatrist	Yes	Yes	Lockdown	5	Mixed, mostly remotely using telecommunications	Phone (calls, texts), e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency	Yes, they have been introduced and enabled DURING the emergency	51-75%	4	Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Assessing/Monitoring patients already under my care	Less than 25%	3	Any	Any	Any	3	2	3	3	4	3	2	3	2	3	4
01/06/2020 11.28.12	Yes	31-40	Female	United Kingdom	Public mental health outpatient clinic, Private mental health clinic	Adult psychiatrist	Yes	Yes	Lockdown	4	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing, Electronic health record	Assessing/Monitoring patients already under my care, Drug therapy monitoring, Drug therapy prescription	Less than 25%	4	Adult	Patients in assisted living facilities, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Schizophrenia and other psychotic disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	5	2	4	4	5	5	2	5	5	4	4
