Informazioni cronologiche	Consenso alla partecipazione e al trattamento dei dati	 [Row 1]	Età	Genere	Regione di appartenenza della struttura sanitaria in cui opera	Tipologia della struttura sanitaria	Ruolo professionale (è possibile indicare più di 1 risposta)	Le sue prestazioni sanitarie hanno subito un calo durante l'emergenza? 	Se ha risposto sì, qual è stata la motivazione principale del calo? 	Se ha risposto sì, quantifichi l'impatto dell'emergenza sulla sua attività lavorativa:	Con quali modalità ha erogato le sue prestazioni DURANTE l'emergenza?	La Regione di appartenenza della struttura in cui opera dispone del registro clinico elettronico?	Quali tra i seguenti strumenti telematici ha utilizzato DURANTE l'emergenza per raggiungere e fornire supporto ai pazienti?	Gli strumenti telematici da lei utilizzati sono personali o le sono stati forniti dalla struttura di appartenenza?	Quale percentuale delle sue prestazioni ha erogato tramite strumenti telematici DURANTE l'emergenza?	Quanto ritiene che gli strumenti telematici le siano stati utili DURANTE l'emergenza per raggiungere e fornire supporto soddisfacente ai pazienti?	Gli strumenti telematici, che ha utilizzato durante l'emergenza, erano disponibili nella sua struttura?	Quali tra i seguenti strumenti telematici utilizzava PRIMA dell'emergenza per raggiungere e fornire supporto ai pazienti?	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Fornire consulenze a MMG/altro specialista]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Chiedere consulenze ad altri specialisti]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Valutazione/Monitoraggio di pazienti già in cura]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Valutazione/Monitoraggio di pazienti di nuovo esordio]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Gestione dell'emergenza]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Monitoraggio della terapia farmacologica]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Prescrizione di farmaci]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Psicoterapia live]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Psicoterapia tramite trasferimento di materiale audio-visivo]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Riabilitazione psichiatrica]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Consulenza giuridica in ambito civile]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Consulenza giuridica in ambito penale]	Quale percentuale delle sue prestazioni erogava tramite strumenti telematici PRIMA dell'emergenza ?	PRIMA dell'emergenza, quanto riteneva utili gli strumenti telematici per raggiungere e fornire supporto soddisfacente ai pazienti ?	Continuerà ad utilizzare strumenti telematici nella sua pratica clinica DOPO l'emergenza?	Per quali fasce di età ritiene che l'impiego di strumenti telematici sia più utile e vantaggioso?	In quali popolazioni ritiene che l'uso di strumenti telematici sia più utile e vantaggioso?	Per quali disturbi ritiene che l'uso di strumenti telematici sia più utile e vantaggioso?	L'impiego di strumenti telematici per la salute mentale è a un buon livello di implementazione in Italia	L'impiego di strumenti telematici per la salute mentale ha costi elevati	L'impiego di strumenti telematici per la salute mentale è un approccio valido, accurato ed efficace tanto quanto la pratica clinica in presenza	L'impiego di strumenti telematici per la salute mentale consente di stabilire una buona relazione medico-paziente	L'impiego di strumenti telematici per la salute mentale è vantaggioso in termini di tempo per l'operatore	L'impiego di strumenti telematici per la salute mentale è vantaggioso in termini di tempo per il paziente	L'impiego di strumenti telematici per la salute mentale è vantaggioso in termini economici per l'operatore	L'impiego di strumenti telematici per la salute mentale è vantaggioso in termini economici per il paziente	L'impiego di strumenti telematici per la salute mentale presenta problemi di confidenzialità tali da limitarne l'utilizzo	Ritengo di essere adeguatamente preparato all'impiego di strumenti telematici per la salute mentale	Sono globalmente soddisfatto delle prestazioni che riesco ad erogare usando strumenti telematici	Lo spazio sottostante è a sua disposizione per indicare eventuali commenti alle risposte che ha dato alle precedenti domande e/o per indicare quali aspetti mancano agli strumenti telematici rispetto al contatto in presenza. 		Con quali modalità erogava le sue prestazioni PRIMA dell'emergenza?	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Fornire consulenze a MMG/altro specialista]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Chiedere consulenze ad altri specialisti]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Valutazione/Monitoraggio di pazienti già in cura]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Valutazione/Monitoraggio di pazienti di nuovo esordio]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Gestione dell'emergenza]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Monitoraggio della terapia farmacologica]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Prescrizione di farmaci]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Psicoterapia live]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Psicoterapia tramite trasferimento di materiale audio-visivo]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Riabilitazione psichiatrica]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Consulenza giuridica in ambito civile]	Indichi per quali delle seguenti prestazioni utilizzava gli strumenti telematici indicati PRIMA dell'emergenza [Consulenza giuridica in ambito penale]	L'impiego di strumenti telematici per la salute mentale permette di abbattere la barriera dello stigma
28/05/2020 19.44.27	Ho compreso l'informativa e acconsento a partecipare allo studio		32	Femminile	Toscana	Azienda Ospedaliera	Psichiatra	Sì	lockdown	31-50%	Mista, prevalentemente tramite strumenti telematici	No	Telefono (chiamate, SMS), Chat (Whatsapp, Telegram etc), Videoconferenza (Skype, Zoom etc)	Ho usato strumenti personali	51-75%	3	No	Telefono (chiamate, SMS)	Registro clinico elettronico, Piattaforma certificata di telemedicina	e-mail, Registro clinico elettronico	e-mail, Registro clinico elettronico	e-mail, Registro clinico elettronico									51-75%	1	Sì, ma con frequenza inferiore	Qualsiasi	Pazienti ricoverati in case di cura	Disturbo d'ansia sociale	3	1	2	2	5	3	4	2	3	1	4																
28/05/2020 20.16.52	Ho compreso l'informativa e acconsento a partecipare allo studio		36	Femminile	Puglia	Azienda Ospedaliera	Infermiere specializzato	Sì	Lockdown	91-100%	In remoto, tramite strumenti telematici	No	Videoconferenza (Skype, Zoom etc), e-mail	Ho usato strumenti personali	Meno del 25%	4	No	Telefono (chiamate, SMS), e-mail					Telefono (chiamate, SMS)								Meno del 25%	1	Sì, ma con frequenza inferiore	Qualsiasi	Pazienti che vivono in località difficilmente raggiungibili, Caregiver di pazienti con patologie croniche		3																										
29/05/2020 10.10.49	Ho compreso l'informativa e acconsento a partecipare allo studio		41 - 50	Maschile	Lazio	Ospedale Privato/Casa di Cura convenzionato con il SSN	Psicoterapeuta	Sì	Ho contratto l'infezione	10	Esclusivamente in presenza	No																						Adulti	Pazienti che vivono in località difficilmente raggiungibili	Disturbo di panico	1	2	4	2	3	2	4	3	5	3	4			Mista, prevalentemente in presenza													
30/05/2020 10.40.56	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Maschile	Veneto	Azienda Sanitaria Locale	Psichiatra	No			Mista, prevalentemente in presenza	Sì	Telefono (chiamate, SMS), Videoconferenza (Skype, Zoom etc), e-mail, Registro clinico elettronico		Meno del 25%	3	Sì, la struttura si è attrezzata DURANTE l'emergenza	Telefono (chiamate, SMS), e-mail, Registro clinico elettronico													Meno del 25%	3	Sì, ma con frequenza inferiore	Bambini e adolescenti	Pazienti che vivono in località difficilmente raggiungibili	Qualsiasi	2	2	3	4	3	4	3	4	2	4	4			Mista, prevalentemente in presenza	Telefono (chiamate, SMS), Registro clinico elettronico	Telefono (chiamate, SMS), Registro clinico elettronico	Telefono (chiamate, SMS), e-mail		Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS)							3
30/05/2020 10.56.43	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Maschile	Campania	Azienda Ospedaliera	Neuropsichiatra infantile	Sì	Lockdown	6	Mista, prevalentemente in presenza	No	Telefono (chiamate, SMS)		Meno del 25%	4	No, ho usato strumenti personali	Telefono (chiamate, SMS)													Meno del 25%	3	Sì, ma con frequenza inferiore	Bambini e adolescenti	Qualsiasi	Disturbi dello spettro dell'autismo, ADHD, Disturbo d'ansia sociale	1	3	1	1	1	1	2	2	4	3	1			Mista, prevalentemente in presenza													1
30/05/2020 11.01.29	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Maschile	Toscana	Azienda Ospedaliera	Psichiatra	Sì	Interruzione di servizi non urgenti	7	Mista, prevalentemente tramite strumenti telematici	Sì	Telefono (chiamate, SMS), e-mail, Piattaforma certificata di telemedicina		25-50%	4	Sì, già PRIMA dell'emergenza	Telefono (chiamate, SMS), e-mail, Registro clinico elettronico, Piattaforma certificata di telemedicina	Telefono (chiamate, SMS), e-mail	Registro clinico elettronico	Telefono (chiamate, SMS), e-mail, Registro clinico elettronico	Telefono (chiamate, SMS), e-mail, Registro clinico elettronico	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS)	Piattaforma certificata di telemedicina						Meno del 25%	4	Sì, ma con frequenza inferiore	Qualsiasi	Qualsiasi	Qualsiasi	2	3	2	4	5	4	4	4	3	4	4			Mista, prevalentemente in presenza	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), Piattaforma certificata di telemedicina	Telefono (chiamate, SMS)	Telefono (chiamate, SMS)	Telefono (chiamate, SMS)	Telefono (chiamate, SMS)	Telefono (chiamate, SMS), Piattaforma certificata di telemedicina						2
30/05/2020 11.09.54	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Femminile	Puglia	Azienda Sanitaria Locale	Tecnico/a della riabilitazione psichiatrica	Sì	Interruzione di servizi non urgenti	6	Mista, prevalentemente tramite strumenti telematici	Non so	Telefono (chiamate, SMS), Videoconferenza (Skype, Zoom etc), Piattaforma certificata di telemedicina		51-75%	5	Sì, la struttura si è attrezzata DURANTE l'emergenza	Telefono (chiamate, SMS)			Telefono (chiamate, SMS)										Meno del 25%	3	Sì, ma con frequenza inferiore	Adulti	Pazienti che frequentano i centri diurni, Caregiver di pazienti con patologie croniche, Studenti	Disturbi bipolari, Schizofrenia e altri disturbi psicotici, Stati mentali a rischio di psicosi (UHR), Disturbo di panico, Disturbo d'ansia sociale, Disturbi di personalità	3	1	5	5	4	4	4	4	2	5	4			Mista, prevalentemente in presenza			Telefono (chiamate, SMS), Videoconferenza (Skype, Zoom etc), Piattaforma certificata di telemedicina			Videoconferenza (Skype, Zoom etc)		Piattaforma certificata di telemedicina		Telefono (chiamate, SMS), Videoconferenza (Skype, Zoom etc), Piattaforma certificata di telemedicina			4
30/05/2020 11.15.46	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Femminile	Abruzzo	Studio professionale	Psicologo/a, Psicoterapeuta	Sì	Lockdown	7	Esclusivamente in remoto, tramite strumenti telematici	Non so	Videoconferenza (Skype, Zoom etc)		25-50%	5	Sì, già PRIMA dell'emergenza	Videoconferenza (Skype, Zoom etc)								Telefono (chiamate, SMS)					Meno del 25%	4	Sì, ma con frequenza inferiore	Adulti	Pazienti che vivono in località difficilmente raggiungibili	Disturbi depressivi, Disturbo di panico, Disturbo d'ansia sociale, Disturbo ossessivo-compulsivo e correlati, Disturbi di personalità	3	1	4	4	2	2	3	2	2	4	4			Mista, prevalentemente in presenza								Telefono (chiamate, SMS)					3
30/05/2020 11.20.23	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Femminile	Lombardia	Azienda Socio-Sanitaria Territoriale	Psichiatra	Sì	Lockdown	3	Mista, prevalentemente tramite strumenti telematici	Sì	Telefono (chiamate, SMS), Videoconferenza (Skype, Zoom etc)		51-75%	4	Sì, la struttura si è attrezzata DURANTE l'emergenza	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), e-mail										Meno del 25%	3	Sì, ma con frequenza inferiore	Adulti	Pazienti ricoverati in case di cura, Pazienti sottoposti a regime di custodia, Pazienti che vivono in località difficilmente raggiungibili, Caregiver di pazienti con patologie croniche, Studenti	Disturbi depressivi, Disturbi bipolari, Disturbo di panico, Disturbo d'ansia sociale, Disturbo ossessivo-compulsivo e correlati, Disturbo post-traumatico da stress	2	2	2	3	4	4	1	4	2	4	4			Mista, prevalentemente in presenza	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), e-mail	Telefono (chiamate, SMS), e-mail										2
30/05/2020 11.23.07	Ho compreso l'informativa e acconsento a partecipare allo studio		31 - 40	Maschile	Piemonte	Azienda Sanitaria Locale	Psichiatra	Sì	Interruzione di servizi non urgenti	6	Esclusivamente in presenza	Sì	Telefono (chiamate, SMS)		Meno del 25%	3	No, ho usato strumenti personali	Telefono (chiamate, SMS), Chat (Whatsapp, Telegram etc), e-mail		Telefono (chiamate, SMS)	Telefono (chiamate, SMS)			Telefono (chiamate, SMS)							Meno del 25%	4	Sì, con la stessa frequenza	Qualsiasi	Qualsiasi	Qualsiasi	2	1	3	3	4	4	3	3	2	3	3			Mista, prevalentemente in presenza	Telefono (chiamate, SMS)	Telefono (chiamate, SMS)	Telefono (chiamate, SMS)			Telefono (chiamate, SMS)							3
